Station_ID,Latitud,Longitud,Depth,Salinity,Temperature,Fluorescence,Oxygen (ml/l),Oxygen (saturation %),Urea (nM),Ammonium (nM),N2O (nM),NOx (nM),SD_Urea,SD_Ammonium,SD_N2O
OC1703_100,37.13437833,-122.5442333,50,33.6487,10.0446,0.2114,3.0944,48.633,1063,0,39.84803072,4637.096774,35.35533906,6.149154475,3.004647506
OC1703_500,37.03668333,-122.7013333,50,33.4433,10.8594,0.7755,3.8156,60.952,20.5,30.43519466,33.38536899,3822.580645,17.67766953,11.22893994,2.610329216
OC1703_500,37.03668333,-122.7013333,150,33.9246,8.4977,0.1308,2.9517,44.926,20.5,17.96656431,43.02683955,5137.096774,17.67766953,6.427913855,2.132929041
OC1703_500,37.03668333,-122.7013333,500,34.2139,6.353,0.1308,0.5326,7.741,53,134.7188294,68.98654324,7903.225806,7.071067812,41.79631709,5.634571721
OC1703_3000,36.79908333,-122.9743333,50,33.0063,12.8669,0.9098,5.811,96.572,71,367.5187299,16.82684022,524.1935484,10.60660172,4.535918474,0.64978301
OC1703_3000,36.79908333,-122.9743333,150,33.7871,9.1913,0.1039,2.9304,45.254,21,20.34561184,38.65528182,5137.096774,3.535533906,7.672210548,0.67318958
OC1703_3000,36.79908333,-122.9743333,500,34.1423,5.2522,0.1039,0.6056,8.572,43.5,19.76676775,66.49335,8588.709677,7.071067812,11.85158758,0.589964055
OC1703_3000,36.79908333,-122.9743333,1000,34.4588,3.7774,0.1039,0.3579,4.904,78.5,15.87116482,69.998601,9846.774194,14.14213562,12.73345523,1.088219118
OC1703_3000,36.79908333,-122.9743333,2000,34.6157,1.8837,0.1039,1.5091,19.788,136,34.29554644,48.8800445,8685.483871,3.535533906,24.85431899,3.125750601
OC1703_3000,36.79908333,-122.9743333,3000,34.6724,1.3725,0.1039,2.4325,31.565,336,55.28540849,38.29136757,7782.258065,3.535533906,26.48277974,1.816861028
OC1703_3500,36.60776667,-123.3803167,50,32.9875,12.3051,1.0441,5.8705,96.415,140.5,3.429318776,18.77351136,0,3.535533906,2.704738357,0.081819097
OC1703_3500,36.60776667,-123.3803167,150,33.7688,9.2205,0.0771,2.9368,45.378,120.5,0,37.04247562,4088.709677,3.535533906,7.34928097,0.226725211
OC1703_3500,36.60776667,-123.3803167,500,34.2419,5.8545,0.1039,0.35,5.029,180.5,34.70540961,77.63707312,8104.83871,17.67766953,1.661993856,0.482885575
OC1703_3500,36.60776667,-123.3803167,1000,34.4475,3.9646,0.1039,0.3255,4.481,215.5,19.41438265,80.70799557,8975.806452,3.535533906,7.897605141,2.626245359
OC1703_3500,36.60776667,-123.3803167,2000,34.6118,1.9666,0.1039,1.523,20.012,225.5,64.73550931,52.42161827,8508.064516,31.81980515,45.9024527,0.425883372
OC1703_3500,36.60776667,-123.3803167,3000,34.6648,1.426,0.1039,2.4032,31.228,203,0,41.00085599,8064.516129,56.56854249,1.324971272,0.936008365
OC1703_4000,36.19483333,-123.9616667,50,33.1535,13.9404,0.5069,5.6379,95.869,120.5,4.935744342,16.51419575,0,3.535533906,4.872200061,1.128087308
OC1703_4000,36.19483333,-123.9616667,150,33.3793,10.2253,0.1308,4.7173,74.321,133,24.97175784,28.52096013,3524.193548,21.21320344,17.92618424,0.077620647
OC1703_4000,36.19483333,-123.9616667,500,34.1405,5.4135,0.1039,0.601,8.54,83,0,74.24106785,8685.483871,42.42640687,7.264749149,3.794289694
OC1703_4000,36.19483333,-123.9616667,1000,34.4464,3.7729,0.1039,0.34,4.658,948,0,80.74519126,9620.967742,7.071067812,1.772549288,1.494163329
OC1703_4000,36.19483333,-123.9616667,2000,34.6129,1.925,0.1039,1.5371,20.176,178,12.88358164,45.9124943,8483.870968,7.071067812,12.63988084,2.62733669
OC1703_4000,36.19483333,-123.9616667,3000,34.6636,1.4001,0.0771,2.4092,31.285,185.5,3.996133288,43.61894642,7935.483871,3.535533906,3.242655272,0.656184156
OC1703_4500,35.68905,-124.92211,50,33.2532,14.4616,0.3457,5.5964,96.231,21,0,17.14553796,233.8709677,3.535533906,0.619358889,0.874902398
OC1703_4500,35.68905,-124.92211,150,33.4274,10.3031,0.1308,4.3786,69.123,76,6.20367597,24.11383766,1935.483871,24.74873734,14.95707229,2.221403168
OC1703_4500,35.68905,-124.92211,500,34.1203,5.5994,0.1039,0.7351,10.49,38.5,0.529702746,72.35826399,8629.032258,7.071067812,3.587539517,1.346873505
OC1703_4500,35.68905,-124.92211,1000,34.4448,3.6912,0.1039,0.3179,4.347,28.5,0,81.88729626,10491.93548,7.071067812,0.220123804,0.809827781
OC1703_4500,35.68905,-124.92211,2000,34.6183,1.8626,0.1039,1.6387,21.475,98.5,6.701974132,47.99566301,9475.806452,7.071067812,10.52036387,4.578314253
OC1703_4500,35.68905,-124.92211,3000,34.6619,1.3735,0.1039,2.378,30.858,111,4.600408441,42.54420968,8693.548387,3.535533906,12.06728316,2.411513659
OC1703_4500,35.68905,-124.92211,4000,34.6829,1.1627,0.0771,2.9886,38.68,101,0,37.84561535,8201.612903,3.535533906,3.267183898,1.72935827
