KO,kofamscan_defined,lax_80def,new
K00194,268,214.4,214.4
K00197,296,236.8,236.8
K00198,437,349.6,349.6
K00855,164,131.2,200
K01601,343,274.4,600
K01602,51,40.8,51
K03553,92,73.6,92
K08691,396,316.8,396
K09709,298,238.4,298
K14466,902,721.6,721.6
K14467,1101,880.8,880.8
K14468,1649,1319.2,1649
K14469,2220,1776,2220
K14470,477,381.6,500
K15016,458,366.4,458
K15017,697,557.6,557.6
K15023,271,216.8,271
K15039,446,356.8,356.8
K15052,1124,899.2,899.2
K15230,920,736,736
K15231,511,408.8,408.8
K15232,643,514.4,514.4
K15233,691,552.8,552.8
K15234,281,224.8,224.8
K18861,927,741.6,741.6
K02982,102,81.6,102
K03076,214,171.2,214
K01889,98,78.4,98
