scaffold,reconciled_taxonomy
OC1703_500m_50m_sens_contig_2251444,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_1073933,unclassified
OC1703_4500m_150m_sens_contig_2105415,Euryarchaeota
OC1703_4500m_500m_sens_contig_989476,Euryarchaeota
OC1703_4500m_1000m_sens_contig_762673,Chloroflexota
OC1703_4000m_1000m_sens_contig_132800,Chloroflexota
OC1703_3500m_50m_sens_contig_2002734,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_50m_sens_contig_147147,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_50m_sens_contig_1926352,eukaryote
OC1703_3500m_150m_sens_contig_5209051,Nitrososphaerota
OC1703_4500m_150m_sens_contig_2576024,Nitrososphaerota
OC1703_4500m_500m_sens_contig_2412779,Nitrososphaerota
OC1703_4500m_3000m_sens_contig_1569775,Acidobacteriota
OC1703_4500m_2000m_sens_contig_1811549,Acidobacteriota
OC1703_4000m_2000m_sens_contig_3653663,Acidobacteriota
OC1703_4500m_150m_sens_contig_2706269,Acidobacteriota
OC1703_4500m_150m_sens_contig_4499898,Acidobacteriota
OC1703_3500m_50m_sens_contig_2392254,unclassified
OC1703_3000m_50m_sens_contig_849039,unclassified
OC1703_500m_50m_sens_contig_1238594,Pseudomonadota;Alphaproteobacteria
OC1703_4000m_50m_sens_contig_2146324,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_50m_sens_contig_6433903,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_50m_sens_contig_4300480,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_50m_sens_contig_397980,Pseudomonadota;Alphaproteobacteria
OC1703_4000m_50m_sens_contig_2669421,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_50m_sens_contig_369226,Actinomycetota
OC1703_3500m_50m_sens_contig_3558135,Actinomycetota
OC1703_500m_50m_sens_contig_1966927,Actinomycetota
OC1703_4500m_50m_sens_contig_6436277,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_50m_sens_contig_3015625,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_50m_sens_contig_2499101,Pseudomonadota;Alphaproteobacteria
OC1703_4000m_50m_sens_contig_159671,Pseudomonadota;Alphaproteobacteria
OC1703_500m_50m_sens_contig_212498,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_50m_sens_contig_1477265,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_50m_sens_contig_4050304,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_50m_sens_contig_4469332,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_50m_sens_contig_4809968,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_50m_sens_contig_2771313,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_50m_sens_contig_5242022,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_150m_sens_contig_2901584,unclassified
OC1703_3000m_3000m_sens_contig_327220,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_2694777,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_3000m_sens_contig_1779769,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_3000m_sens_contig_228569,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_1627856,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_3961103,Planctomycetota
OC1703_4500m_2000m_sens_contig_1367491,Planctomycetota
OC1703_4000m_2000m_sens_contig_2718962,Planctomycetota
OC1703_4500m_4000m_sens_contig_4435380,Planctomycetota
OC1703_4000m_3000m_sens_contig_1549728,Planctomycetota
OC1703_4000m_3000m_sens_contig_1655417,Pseudomonadota;unclassified
OC1703_4500m_3000m_sens_contig_503881,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_2000m_sens_contig_1110991,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_2000m_sens_contig_548983,Pseudomonadota;Gammaproteobacteria
