Sample,genome,Read Count,Mean,covered_fraction,Length
3000m1000m,A3000m3000m.256,4644,0.20035003,0.1239115,2702913
3000m1000m,A4500m4000m.140,2022,0.032112025,0.015402153,4866852
3000m1000m,R500m50m.206,1271,0.05124854,0.03144161,2086089
3000m1000m,A4500m150m.77,4014,0.07571464,0.014269433,3691387
3000m1000m,A4500m4000m.321,13856,0.19336542,0.07998093,8014510
3000m1000m,A3000m50m.285,660,0.05989938,0.032218777,875235
3000m1000m,A500m50m.27,123368,12.832083,0.39377692,1289395
3000m1000m,A4500m4000m.232,27114,1.093915,0.5139743,3375375
3000m1000m,A3500m2000m.130,1062616,79.33062,0.99278814,1907829
3000m1000m,A4500m500m.168,131494,10.950167,0.970994,1598531
3000m1000m,A4500m50m.43,869,0.019777752,0.0059704613,1482130
3000m1000m,A4500m150m.279,3275,0.089234084,0.024059271,3116678
3000m1000m,A4500m50m.77,394,0.011326953,0.006490943,2241893
3000m1000m,A4500m150m.82,687,0.05384811,0.0122341085,906809
3000m1000m,A3000m2000m.302,18786,1.3835481,0.5358386,1915226
3000m1000m,A500m50m.180,1870,0.07642475,0.041605107,2611290
3000m1000m,A3500m50m.48,37066,1.3871505,0.0034568866,1298278
3000m1000m,R3000m50m.83,243,0.005069118,0.0014954346,2102399
3000m1000m,A4500m50m.197,61367,0.105330445,0.012394015,16333932
3000m1000m,A3500m2000m.118,1566949,80.99849,0.99778104,2744536
3000m1000m,A3500m150m.345,71573,2.9429634,0.707074,3391013
3000m1000m,R4000m3000m.213,15956,1.2454593,0.39779812,1472825
3000m1000m,A3000m3000m.104,1350,0.044797245,0.026507549,2627742
3000m1000m,A4500m4000m.297,5743,0.15649089,0.089582995,3604769
3000m1000m,R4500m50m.81,103,0.0026492602,8.37746e-4,2001800
3000m1000m,A4500m150m.296,12163,0.20317881,0.070726246,6532497
3000m1000m,A4500m150m.166,6248,0.3775792,0.017290285,1371059
3000m1000m,A4500m500m.73,47034,3.2400467,0.72758937,1799236
3000m1000m,A3000m50m.142,884,0.046379197,0.023745462,1413070
3000m1000m,A4500m150m.320,858,0.04617467,0.02299243,2179326
3000m1000m,A4500m4000m.119,1795,0.21893802,0.09571804,980463
3000m1000m,A3000m50m.336,8032,0.31036693,0.013816695,1849574
3000m1000m,A500m50m.92,23126,0.3773191,0.1690424,8059061
3000m1000m,A4500m150m.256,2677,0.11743475,0.03717279,2137047
3000m1000m,A4500m4000m.316,24974,0.70178306,0.3402394,4056623
3000m1000m,A4500m4000m.60,36683,1.9610265,0.17541403,2049665
