genome,gtdb_classification,checkm_ompleteness,checkm_contamination,genome_size_bp,pathway_found,site_generated,previously_reported,3000m1000m,3000m150m,3000m2000m,3000m3000m,3000m500m,3000m50m,3500m1000m,3500m150m,3500m2000m,3500m3000m,3500m500m,3500m50m,4000m1000m,4000m150m,4000m2000m,4000m3000m,4000m500m,4000m50m,4500m1000m,4500m150m,4500m2000m,4500m3000m,4500m4000m,4500m500m,4500m50m,500m150m,500m500m,500m50m
R3000m1000m.189,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas distincta,69.98,0.86,4352940,CBB,"OC3,1000m",no,23.091513,0.07049766,0.55024177,0.113002926,0.03982891,0.07748994,0.028595684,0.03712442,0.031774033,0.027745556,0.028667202,0.05370365,0.035027362,0.026201254,0.024827667,0.015048078,0.016256943,0.022139093,0.016474724,0.041789167,0.023246683,0.020859633,0.019310715,0.024173403,0.061044056,0.033183377,0.055322934,0.098849036
R3000m1000m.77,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2731375;f__GCA-2731375;g__GCA-2731375;s__,98.63,1.09,4584118,3HP bi-cycle,"OC3,1000m",no,13.156677,18.838306,5.169654,0.6427518,16.439104,0.022237718,9.700967,14.711475,2.413299,0.49413815,6.7195973,0.008073551,10.727235,2.842593,2.7823482,0.31076723,11.336667,0.005886195,11.1272335,1.9819586,3.5721104,0.6003244,0.48959,19.546448,0.017543541,7.4767,4.541137,3.1182168
R3000m150m.175,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__,52.8,1.87,1221486,3HP/4HB,"OC3,150m",no,0.006372428,7.4594526,0.008140063,0.13973,0.016089262,0.023865653,0.007735983,1.1519908,0.00501747,0.02259151,0.016645517,0.027198883,0.004756968,1.2355813,0.002246513,0.002171715,0.006307087,0.011744113,0.005019189,0.39493835,0.00336762,0.002475205,0.002757201,0.009380674,0.014589868,1.5035249,0.19071974,5.709342
R3000m150m.182,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__;g__;s__,82.94,3,3254034,3HP bi-cycle,"OC3,150m",no,0.8014107,10.770341,0.5776781,0.3275849,4.555511,0.035989985,0.46781847,8.274714,0.407338,0.1759907,1.3490252,0.010349847,0.96315324,4.1497974,0.5452287,0.1171968,1.6141636,0.006001539,0.6440026,3.9475431,0.64342105,0.18471202,0.10908397,4.440313,0.020291358,4.441737,1.1743305,0.9516647
R3000m150m.184,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__;g__;s__,93.18,2.27,2933040,3HP/4HB,"OC3,150m",no,0.59388393,10.335782,0.43979552,0.21944897,1.2792104,0.009664184,0.48157686,2.8328116,0.1961183,0.14739408,0.67640615,0.002427462,0.5390339,0.685277,0.15774739,0.087019496,0.89252347,0.002319404,0.47279352,0.18682429,0.19392543,0.16367905,0.18668312,1.339608,0.004968559,4.5342574,0.98872435,1.9637066
R3000m150m.211,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__UBA60;s__,86.13,0.8,1973414,3HP/4HB,"OC3,150m",no,0.024636662,28.521212,0.034402654,0.03900524,0.026192479,0.018902715,0.036319587,10.06872,0.020920781,0.035749055,0.035403773,0.012690173,0.01858808,3.6424026,0.011844844,0.015857482,0.009174007,0.008713289,0.015639381,1.111339,0.022831587,0.02189074,0.031358443,0.015059654,0.008642803,9.565397,0.38349763,7.2847524
R3000m150m.25,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp012960305,85.12,1.42,2756055,3HP bi-cycle,"OC3,150m",no,0.8432992,13.550247,0.5173874,0.17876391,2.1481478,0.2568595,1.2478365,12.680798,0.41451868,0.285301,0.7408345,0.28994316,0.96990556,2.1668053,0.3680633,0.17451985,1.2192196,0.12845267,0.52111006,0.9505822,0.2661574,0.24633722,0.20662202,1.3453823,0.40034893,10.815182,2.0523016,2.5135553
R3000m150m.274,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__MedAcidi-G1;s__,50.76,2.99,1172407,3HP bi-cycle,"OC3,150m",no,0.09718968,37.983383,0.12093205,0.063020706,0.56211895,0.54775155,0.110867046,25.841238,0.102054484,0.09130474,0.5177452,0.40850878,0.115736224,7.079548,0.12104122,0.06945326,0.20706978,0.16974524,0.09893734,18.831472,0.07539934,0.12046479,0.09471535,0.41464788,0.40175745,13.548582,1.1616061,8.587817
R3000m150m.285,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-P;s__,74.76,1.86,1716738,3HP/4HB,"OC3,150m",no,0.017087286,16.14842,0.012016666,0.012502643,0.04319248,0.0744626,0.01782316,17.912403,0.009426991,0.014043473,0.036282476,0.023742586,0.013672832,33.54315,0.010303432,0.006904597,0.024408778,0.023386365,0.011282595,36.678658,0.010400147,0.014620758,0.028223908,0.06956378,0.043648418,7.0871787,0.09281319,4.035997
R3000m150m.313,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__UBA868;s__,54.34,1.78,1451896,CBB,"OC3,150m","Jaffe et al., 2024",0.06707915,10.955667,0.073897846,0.07146254,0.77603066,0.13703948,0.07388262,4.4319544,0.04350335,0.052834924,0.4439482,0.01644607,0.059573144,2.4613671,0.04009437,0.038099147,0.22946198,0.00484305,0.046709336,3.2541695,0.033047292,0.038611725,0.034124654,0.40014544,0.020538738,3.0388162,0.6084241,1.2848359
R3000m2000m.134,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__Casp-alpha2;s__Casp-alpha2 sp002938075,90.59,3.92,2675982,3HP bi-cycle,"OC3,2000m",no,28.810837,0.15346865,43.10525,19.733278,3.7783146,0.014596827,16.211988,0.07197965,32.0361,39.016933,3.703316,0.007137219,22.989649,0.030106196,34.11022,38.748005,1.9444658,0.005702619,27.182959,0.054461684,70.04851,72.381775,68.913315,5.907121,0.021982571,0.1664266,0.9837458,0.017970387
