KO,gene_description,module,header,genome,present,classification,phylum,class,Completeness,Contamination,size_bp
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00125,formate dehydrogenase (coenzyme F420) [EC1.8.98.6] [RN:R11944],Methanogenesis,C1-methane,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00125,formate dehydrogenase (coenzyme F420) [EC1.8.98.6] [RN:R11944],Methanogenesis,C1-methane,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
K00192,"cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4] [RN:R07157]",amaerobic CO oxidation,CO oxidation,R4500m150m.161,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,85.41,1.96,1073987
K00192,"cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4] [RN:R07157]",amaerobic CO oxidation,CO oxidation,R4500m500m.275,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__,d__Archaea;p__Halobacteriota,d__Archaea;p__Halobacteriota;c__Halobacteria,55.09,2.34,778693
